height,timestamp,diff,change,bits,average_time(seconds),average_hashrate,,Hash Power In Giga Hash,P_t
338688,1421084073,43971662056,8.2,0x1819012f,555,3.14618E+17,,348786.5672,1.60034292
340704,1422372946,41272873894,-6.14,0x181aa3c0,639,2.95402E+17,,296125.3557,1.600365228
342720,1423496415,44455415962,7.71,0x1818bb87,557,3.18093E+17,,366669.4836,1.600339174
344736,1424648937,46684376316,5.01,0x18178d3a,572,3.33984E+17,,327711.4797,1.600323036
346752,1425840165,47427554950,1.59,0x18172ec0,591,3.39334E+17,,399442.8222,1.600317943
348768,1427068411,46717549644,-1.5,0x181788f2,609,3.34346E+17,,292501.2162,1.600322687
350784,1428211345,49446390688,5.84,0x18163c71,567,3.53923E+17,,338442.9619,1.600304837
352800,1429467906,47610564513,-3.71,0x181717f0,623,3.40723E+17,,338676.3611,1.600316647
354816,1430677341,47643398017,0.07,0x181713dd,600,3.40856E+17,,332393.9691,1.600316523
356832,1431858433,48807487244,2.44,0x181686f5,586,3.49277E+17,,332393.9691,1.600308893
358848,1433099185,47589591153,-2.5,0x18171a8b,615,3.40606E+17,,370533.2886,1.600316756
360864,1434257763,49692386354,4.42,0x18162043,575,3.55662E+17,,316188.4063,1.600303347
362880,1435475246,49402014931,-0.58,0x1816418e,604,3.53409E+17,,356089.185,1.600305281
364896,1436646286,51076366303,3.39,0x181586c8,581,3.65278E+17,,397611.6003,1.600295361
366912,1437828285,52278304845,2.35,0x18150815,586,3.74156E+17,,363827.6082,1.600288352
368928,1439028930,52699842409,0.81,0x1814dd04,596,3.77014E+17,,406057.1232,1.600286167
370944,1440204583,54256630327,2.95,0x181443c4,583,3.88133E+17,,409960.9819,1.600277969
372960,1441357507,56957648455,4.98,0x18134dc1,572,4.07476E+17,,461514.9501,1.600264773
374976,1442519404,59335351233,4.17,0x181287ba,576,4.24458E+17,,510276.7014,1.60025418
376992,1443700390,60813224039,2.49,0x18121472,586,4.3503E+17,,453456.2646,1.600248003
379008,1444908751,60883825480,0.12,0x18120f14,599,4.35764E+17,,469115.464,1.600247585
381024,1446092706,62253982449,2.25,0x1811a954,587,4.45264E+17,,433252.7154,1.600242304
383040,1447236692,65848255179,5.77,0x1810b289,567,4.71191E+17,,520460.1886,1.600228971
385056,1448332462,72722780642,10.44,0x180f1e76,544,5.20326E+17,,527800.079,1.600207349
387072,1449444652,79102380900,8.77,0x180de64f,552,5.66164E+17,,629152.1093,1.600190561
389088,1450469289,93448670796,18.14,0x180bc409,508,6.68452E+17,,803647.0416,1.600161401
391104,1451558562,1.0388E+11,11.16,0x180a9591,540,7.42825E+17,,862135.5394,1.600145241
393120,1452667178,1.13354E+11,9.12,0x1809b31b,550,8.11339E+17,,918901.0182,1.600132976
395136,1453810745,1.20033E+11,5.89,0x180928f0,567,8.58276E+17,,1153414.864,1.600125704
397152,1454818360,1.44116E+11,20.06,0x1807a114,500,1.03147E+18,,1056537.852,1.600104597
399168,1455885256,1.63492E+11,13.44,0x1806b99f,529,1.16961E+18,,1220696.147,1.600092243
401184,1457133956,1.58427E+11,-3.1,0x1806f0a8,619,1.13367E+18,,1110630.46,1.600095168
403200,1458292068,1.65497E+11,4.46,0x1806a4c3,574,1.18449E+18,,1244135.057,1.600091085
405216,1459492475,1.66852E+11,0.82,0x180696f4,595,1.19374E+18,,1270147,1.600090379
407232,1460622341,1.78678E+11,7.09,0x1806274b,560,1.27866E+18,,1207843.183,1.600084377
409248,1461832110,1.78659E+11,-0.01,0x18062776,600,1.27885E+18,,1342247.87,1.600084364
411264,1462944866,1.94255E+11,8.73,0x1805a8fa,552,1.3902E+18,,1456454.923,1.600077607
413280,1464123766,1.99312E+11,2.6,0x18058436,585,1.42674E+18,,1406915.64,1.600075619
415296,1465353718,1.96061E+11,-1.63,0x18059ba0,610,1.40312E+18,,1551383.975,1.600076892
417312,1466486338,2.09453E+11,6.83,0x18053fd6,562,1.49885E+18,,1603443.84,1.600071981
419328,1467674161,2.13399E+11,1.88,0x180526fd,589,1.52681E+18,,1580609.599,1.600070663
421344,1468884162,2.13493E+11,0.04,0x18052669,600,1.52706E+18,,1634366.548,1.600070651
423360,1470163842,2.01893E+11,-5.43,0x18057228,635,1.44455E+18,,1495388.726,1.600074687
425376,1471287554,2.17375E+11,7.67,0x18050edc,557,1.55567E+18,,1426364.789,1.600069352
427392,1472479861,2.20756E+11,1.56,0x1804fb08,591,1.5786E+18,,1569258.509,1.600068345
429408,1473662347,2.25833E+11,2.3,0x1804de5e,587,1.61647E+18,,1863551.353,1.600066744
431424,1474795015,2.41227E+11,6.82,0x18048ed4,562,1.72637E+18,,2002575.351,1.600062495
433440,1475924010,2.58523E+11,7.17,0x180440c4,560,1.85006E+18,,1619255.677,1.600058317
435456,1477159378,2.53618E+11,-1.9,0x180455d2,613,1.81198E+18,,1853292.419,1.600059542
437472,1478364418,2.5462E+11,0.4,0x18045174,598,1.82234E+18,,2177044.964,1.600059204
439488,1479457815,2.81801E+11,10.68,0x1803e6d4,542,2.01635E+18,,2297377.53,1.600053507
441504,1480646786,2.86766E+11,1.76,0x1803d589,590,2.05221E+18,,1881686.874,1.600052572
443520,1481765313,3.10154E+11,8.16,0x18038b85,555,2.21989E+18,,2112242.956,1.600048601
445536,1482946855,3.17688E+11,2.43,0x180375ff,586,2.27289E+18,,2195140.27,1.600047468
447552,1484088052,3.369E+11,6.05,0x18034379,566,2.41041E+18,,2914045.251,1.60004476
449568,1485125572,3.92963E+11,16.64,0x1802cc47,515,2.81161E+18,,3066886.627,1.600038373
451584,1486251529,4.22171E+11,7.43,0x18029ab9,559,3.0219E+18,,3546669.948,1.600035702
453600,1487410706,4.4078E+11,4.41,0x18027e93,575,3.15347E+18,,3352427.032,1.600034213
455616,1488567886,4.60769E+11,4.54,0x180262df,574,3.29816E+18,,3573175.168,1.600032712
